"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 05- 08","9.0814","9.1282","9.1452","9.0535","","-0.61%"
"2015- 05- 07","9.1369","9.0322","9.1790","9.0246","","1.04%"
"2015- 05- 06","9.0433","9.0131","9.0560","8.9854","","0.26%"
"2015- 05- 05","9.0202","8.9942","9.0404","8.9781","","0.17%"
"2015- 05- 04","9.0052","8.9902","9.0231","8.9749","","0.08%"
"2015- 05- 01","8.9981","9.0161","9.0291","8.9666","","-0.30%"
"2015- 04- 30","9.0256","8.9836","9.0517","8.9679","","0.38%"
"2015- 04- 29","8.9913","8.9457","9.0092","8.9398","","0.41%"
"2015- 04- 28","8.9545","8.9711","9.0115","8.9318","","-0.29%"
"2015- 04- 27","8.9802","9.0351","9.0694","8.9596","","-0.73%"
"2015- 04- 24","9.0465","9.0291","9.0708","9.0064","","0.08%"
"2015- 04- 23","9.0393","9.0303","9.0541","9.0062","","-0.01%"
"2015- 04- 22","9.0404","9.0394","9.0686","8.9967","","-0.11%"
"2015- 04- 21","9.0505","9.0785","9.0985","9.0305","","-0.41%"
"2015- 04- 20","9.0877","9.1106","9.1332","9.0522","","-0.29%"
"2015- 04- 17","9.1139","9.1008","9.1380","9.0583","","0.02%"
"2015- 04- 16","9.1122","9.1586","9.2040","9.0778","","-0.61%"
"2015- 04- 15","9.1677","9.1379","9.2128","9.1267","","0.22%"
"2015- 04- 14","9.1474","9.1588","9.1857","9.1091","","-0.25%"
"2015- 04- 13","9.1700","9.0923","9.1949","9.0795","","0.78%"
"2015- 04- 10","9.0993","9.0850","9.1164","9.0557","","0.05%"
"2015- 04- 09","9.0948","9.0881","9.1241","9.0629","","-0.03%"
"2015- 04- 08","9.0971","9.0994","9.1368","9.0793","","-0.13%"
"2015- 04- 07","9.1089","9.0768","9.1365","9.0611","","0.25%"
"2015- 04- 06","9.0863","9.1183","9.1519","9.0658","","-0.50%"
"2015- 04- 03","9.1320","9.1070","9.1725","9.0994","","0.18%"
"2015- 04- 02","9.1157","9.1610","9.2072","9.0833","","-0.60%"
"2015- 04- 01","9.1705","9.2217","9.2485","9.1602","","-0.66%"
"2015- 03- 31","9.2312","9.2138","9.2596","9.2004","","0.09%"
"2015- 03- 30","9.2233","9.2534","9.2866","9.1962","","-0.44%"
"2015- 03- 27","9.2645","9.2631","9.2948","9.2312","","-0.07%"
"2015- 03- 26","9.2707","9.2110","9.3451","9.1973","","0.54%"
"2015- 03- 25","9.2209","9.2083","9.2415","9.1876","","0.05%"
"2015- 03- 24","9.2162","9.2337","9.2720","9.1971","","-0.29%"
"2015- 03- 23","9.2431","9.2654","9.3314","9.2222","","-0.36%"
"2015- 03- 20","9.2766","9.2800","9.3229","9.2223","","-0.13%"
"2015- 03- 19","9.2883","9.2455","9.3014","9.2251","","0.35%"
"2015- 03- 18","9.2557","9.2964","9.3423","9.2432","","-0.53%"
"2015- 03- 17","9.3050","9.3186","9.3327","9.2656","","-0.26%"
"2015- 03- 16","9.3288","9.3646","9.3856","9.2971","","-0.50%"
