,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
93,201210,1082.9,91.5,92.47,107,1823554.7,10245.8,0.125,2.75,2.97,1.69,39725.6,36418.3,84.4,84,106.78,105.56,323461,152714.99,3.1,7.8,1912.06,13096.46
94,201211,1070.6,90.6,97.22,99,1831794.4,10343.0,0.125,2.75,2.99,1.616,40420.2,36480.3,84.6,84.1,106.05,106.04,326091,151629,3.2,7.7,1932.9,13025.58
95,201212,1089,91.2,98.35,103,1835641.6,10531.4,0.125,2.75,3.13,1.757,38298.8,35990.2,85.3,83.6,105.79,106.34,326968,151371.99,3.1,7.9,1997.05,13104.14
96,201301,1083,94.4,99.16,107,1844600.7,10506.6,0.125,2.75,3.05,1.985,39015.4,38615.4,85.4,85.2,105.96,106.24,328910,149837.65,3.2,8,1961.94,13860.58
97,201302,1111.1,96.2,93.21,106,1853813,10480.0,0.125,2.75,3.04,1.876,35863.9,34478.8,84.7,85.2,106.68,106.04,327395,149340.83,3.2,7.7,2026.49,14054.49
98,201303,1101.2,98.3,96.32,109,1868046.5,10626.9,0.125,2.75,2.91,1.849,40133.3,37203,84.8,84.6,106.26,106.43,327408,147266.17,3.1,7.5,2004.89,14578.54
99,201304,1129.7,97.9,92.53,102,1860900.8,10655.8,0.125,2.75,2.84,1.672,39257.9,36564.9,85.1,83.8,105.93,106.73,328799,146532.77,3,7.6,1963.95,14839.8
100,201305,1142,97.2,97.91,108,1874392.1,10578.7,0.125,2.5,2.9,2.128,41103.5,35828.9,85.1,84.5,105.56,106.73,328095,145434.2,3,7.5,2001.05,15115.57
101,201306,1123.5,96.3,89.86,102,1892905.6,10643.3,0.125,2.5,3.31,2.486,40009.3,34237.5,85.7,84.1,105.54,106.63,326440,144893.43,3.1,7.5,1863.32,14909.6
102,201307,1110,95.6,95.38,107,1877031.9,10682.3,0.125,2.5,3.47,2.576,39273.7,36076.7,85.7,83.2,105.52,106.92,329709,147316.07,3.2,7.3,1914.03,15499.54
103,201308,1074.7,95.3,92.28,105,1897581.7,10738.0,0.125,2.5,3.61,2.784,39951.4,34750.6,86.3,83.5,105.82,106.63,331094,147567.42,3.2,7.2,1926.36,14810.31
104,201309,1060.7,96.1,103.88,104,1900172.3,10805.9,0.125,2.5,3.53,2.61,38369,34604.6,85.9,84.3,105.7,106.53,336922,147679.88,3,7.2,1996.96,15129.67
